Cubic_capacity;Number_of_cylinders;Number_of_valves;Max_power;Max_torque;Compression_rate;Kerb_weight;Gasoline;Diesel;Gasoline_Electric;Diesel_Electric;Direct;Indirect;Turbocharger;Biturbo;Compressor;Naturally_aspirated;Manual;Automatic;AWD;FWD;RWD;FCU;FCH;FCM
2773;6;24;204;280;12;1695;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;10,7;6,5;8
2773;6;24;204;280;12;1635;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;9,6;6,1;7,4
2995;6;24;300;440;10,3;1760;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;10,8;6,6;8,2
3993;8;32;420;550;10,1;1920;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;13,9;7,5;9,6
3993;8;32;560;700;10,1;1895;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;13,9;7,5;9,8
2967;6;24;204;400;16,8;1760;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;6,8;5,1;5,8
2967;6;24;204;400;16,8;1670;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;6,1;4,8;5,3
2967;6;24;245;500;16,8;1760;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;7,2;5,2;5,9
2967;6;24;313;650;16;1825;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;8;5,6;6,4
2995;6;24;290;420;10,3;1830;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;12,9;6,9;9,1
2995;6;24;310;440;10,3;1805;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;10,5;6,3;7,8
3993;8;32;420;600;10,1;1870;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;13;6,3;7,8
3993;8;32;435;600;10,1;1895;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;12,6;7,1;9,1
3993;8;32;520;650;9,3;1950;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;14,4;7,6;10,1
4163;8;32;372;445;12,5;1835;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;13,3;7,2;9,5
6299;12;48;500;625;11,8;2060;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;18,2;9;12,4
2967;6;24;204;400;16,8;1790;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;7,4;5,2;6
2967;6;24;250;550;16,8;1840;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;8;5,8;6,6
2967;6;24;258;580;16,8;1855;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;7,3;5,1;5,9
2967;6;24;258;580;16,8;1855;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;7,3;5,1;5,9
4134;8;32;350;800;16,5;1995;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;10,2;6,1;7,6
4134;8;32;385;850;16,5;2015;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;9,4;6,1;7,4
1984;4;16;211;350;9,6;1845;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;6,4;6,2;6,3
1395;4;16;150;250;10,5;1380;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;7,7;5,4;6,2
1395;4;16;150;250;10,5;1360;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;7,4;5;5,9
1984;4;16;170;280;9,6;1485;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;9,5;6,1;7,4
1984;4;16;211;300;9,6;1540;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;10,2;6,4;7,7
2480;5;20;310;420;9,6;1630;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;12,2;6,9;8,8
1968;4;16;140;320;16,5;1510;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;6,9;5;5,7
1968;4;16;140;320;16,5;1420;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;6,2;4,7;5,2
1968;4;16;177;380;16;1560;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;7;5,3;5,9
1984;4;16;180;320;9,6;1710;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;10,3;6,8;8,1
1984;4;16;211;350;9,6;1740;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;10,5;7,5;8,6
1984;4;16;211;350;9,6;1695;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;10,3;6,8;8,1
1984;4;16;225;350;9,6;1730;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;9,6;6,9;7,9
1984;4;16;225;350;9,6;1730;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;9,6;6,9;7,9
1984;4;16;225;350;9,6;1695;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;9,3;6,4;7,5
2995;6;24;272;400;10,3;1815;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;11,4;6,9;8,5
3197;6;24;270;330;12,5;1795;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;12,3;7,6;9,3
